Price,Close,High,Low,Open,Volume
Ticker,EURAUD=X,EURAUD=X,EURAUD=X,EURAUD=X,EURAUD=X
Date,,,,,
2020-01-01,1.5993000268936157,1.5997999906539917,1.5846999883651733,1.5995999574661255,0
2020-01-02,1.5981899499893188,1.6022299528121948,1.5972000360488892,1.5982799530029297,0
2020-01-03,1.5994399785995483,1.606029987335205,1.5994800329208374,1.5994800329208374,0
2020-01-06,1.6072299480438232,1.614959955215454,1.6049000024795532,1.606619954109192,0
2020-01-07,1.6137499809265137,1.6269400119781494,1.6125999689102173,1.6137200593948364,0
2020-01-08,1.6257599592208862,1.6292200088500977,1.6167999505996704,1.6259599924087524,0
2020-01-09,1.6165900230407715,1.6205600500106812,1.6154999732971191,1.6164699792861938,0
2020-01-10,1.6205999851226807,1.6211899518966675,1.6092100143432617,1.6208000183105469,0
2020-01-13,1.6108700037002563,1.6128699779510498,1.607699990272522,1.611430048942566,0
2020-01-14,1.6139800548553467,1.6166900396347046,1.6086499691009521,1.6141200065612793,0
2020-01-15,1.6133999824523926,1.6196099519729614,1.6122000217437744,1.6140700578689575,0
2020-01-16,1.6143690347671509,1.6156100034713745,1.6101000308990479,1.6144800186157227,0
2020-01-17,1.6143200397491455,1.6174499988555908,1.6097999811172485,1.6145100593566895,0
2020-01-20,1.6120599508285522,1.6161199808120728,1.6110999584197998,1.6118600368499756,0
2020-01-21,1.6136499643325806,1.6197700500488281,1.611799955368042,1.6134300231933594,0
2020-01-22,1.6186000108718872,1.6228280067443848,1.6170899868011475,1.6188900470733643,0
2020-01-23,1.621440052986145,1.6220699548721313,1.611109972000122,1.621690034866333,0
2020-01-24,1.6161999702453613,1.6166499853134155,1.6103999614715576,1.614300012588501,0
2020-01-27,1.6207799911499023,1.630620002746582,1.6181000471115112,1.6206599473953247,0
2020-01-28,1.6296499967575073,1.635200023651123,1.6279000043869019,1.6297399997711182,0
2020-01-29,1.6294499635696411,1.6331299543380737,1.6246999502182007,1.6294900178909302,0
2020-01-30,1.6305999755859375,1.6465400457382202,1.6304999589920044,1.6304999589920044,0
2020-01-31,1.6437000036239624,1.6559200286865234,1.639449954032898,1.6439499855041504,0
2020-02-03,1.6566699743270874,1.6575700044631958,1.6471600532531738,1.6568599939346313,0
2020-02-04,1.6534299850463867,1.6555999517440796,1.6389199495315552,1.653540015220642,0
2020-02-05,1.6406899690628052,1.6418800354003906,1.6259000301361084,1.6403299570083618,0
2020-02-06,1.6291300058364868,1.632099986076355,1.6253999471664429,1.6291699409484863,0
2020-02-07,1.6310499906539917,1.6443899869918823,1.6308000087738037,1.6310399770736694,0
2020-02-10,1.6408900022506714,1.6415899991989136,1.632599949836731,1.6414799690246582,0
2020-02-11,1.630810022354126,1.6321500539779663,1.6213300228118896,1.6310800313949585,0
2020-02-12,1.624899983406067,1.6256599426269531,1.613700032234192,1.6246999502182007,0
2020-02-13,1.6199500560760498,1.6200599670410156,1.6086900234222412,1.6200599670410156,0
2020-02-14,1.6129000186920166,1.6164100170135498,1.6096999645233154,1.6133099794387817,0
2020-02-17,1.6115700006484985,1.6139099597930908,1.6095000505447388,1.6118600368499756,0
2020-02-18,1.6145999431610107,1.6227699518203735,1.6129200458526611,1.6150000095367432,0
2020-02-19,1.6125500202178955,1.618090033531189,1.6110399961471558,1.6123199462890625,0
2020-02-20,1.6175999641418457,1.6329400539398193,1.6159000396728516,1.6179200410842896,0
2020-02-21,1.6310700178146362,1.640429973602295,1.6288100481033325,1.6312899589538574,0
2020-02-24,1.6404399871826172,1.6429699659347534,1.6367000341415405,1.6407300233840942,0
2020-02-25,1.640779972076416,1.6481900215148926,1.6385999917984009,1.6409399509429932,0
2020-02-26,1.6469500064849854,1.6607199907302856,1.6446599960327148,1.6472200155258179,0
2020-02-27,1.662619948387146,1.670799970626831,1.6619199514389038,1.662179946899414,0
2020-02-28,1.6711499691009521,1.705199956893921,1.6704000234603882,1.6707899570465088,0
2020-03-02,1.6958099603652954,1.7120000123977661,1.6881500482559204,1.696239948272705,0
2020-03-03,1.7015800476074219,1.7100800275802612,1.6830999851226807,1.7023999691009521,0
2020-03-04,1.6973999738693237,1.6968899965286255,1.6775000095367432,1.6968899965286255,0
2020-03-05,1.6807700395584106,1.6986099481582642,1.6777000427246094,1.6808799505233765,0
2020-03-06,1.6965299844741821,1.7107000350952148,1.6931500434875488,1.6958099603652954,0
2020-03-09,1.7214399576187134,1.814650058746338,1.7086800336837769,1.721500039100647,0
2020-03-10,1.7273999452590942,1.7519999742507935,1.7247899770736694,1.726699948310852,0
2020-03-11,1.7413500547409058,1.7475899457931519,1.7292100191116333,1.741819977760315,0
2020-03-12,1.7379499673843384,1.7740000486373901,1.7379800081253052,1.7379800081253052,0
2020-03-13,1.782420039176941,1.8003000020980835,1.7646000385284424,1.7800999879837036,0
2020-03-16,1.8050899505615234,1.831279993057251,1.798069953918457,1.8056399822235107,0
2020-03-17,1.8297699689865112,1.839959979057312,1.815459966659546,1.8285200595855713,0
2020-03-18,1.8381600379943848,1.866729974746704,1.829450011253357,1.8395400047302246,0
